378	12663396	147	58
379	12664324	20	11
380	12664471	1028	524
381	12671072	1866	541
382	12681238	105	58
383	12681955	139	40
384	12682817	355	96
385	12684801	3092	943
386	12702554	5344	1378
387	12733991	3401	1290
388	12754370	299	172
389	12756350	40	29
390	12756632	67	51
391	12757111	183	45
392	12758181	432	203
393	12760917	30	24
394	12761138	137	32
395	12762022	14	10
396	12762138	2485	1124
397	12777112	4105	948
398	12799113	2355	813
399	12812737	1391	359
400	12820468	6375	1043
401	12854216	15445	1765
402	12937544	440	270
403	12940379	166	90
404	12941478	3619	712
405	12961516	4427	1300
406	12986096	563	321
407	12989740	22625	2515
408	13105809	11184	1724
409	13167296	796	535
410	13172313	3606	1256
411	13194061	2821	608
412	13209768	10754	1854
413	13268147	687	414
414	13272334	2436	467
415	13285743	413	278
416	13288346	1575	466
417	13297406	2094	1567
418	13310349	2066	550
419	13322066	12505	1497
420	13383650	1033	473
421	13389941	749	315
422	13394425	1335	592
423	13402178	2357	667
424	13415758	3493	322
425	13433290	135	87
426	13434191	61916	541
427	13692809	78	51
428	13693332	88	29
429	13693856	724	42
430	13697047	2445	212
431	13708405	3471	416
432	13725810	219	109
433	13727099	1411	500
434	13735076	614	241
435	13738910	144	84
436	13739830	27	25
437	13740038	1792	823
438	13751047	429	286
439	13753661	182	58
440	13754775	62	35
441	13755195	3222	804
442	13772577	8881	1260
443	13819590	5708	481
444	13846341	4650	188
445	13866841	7770	1190
446	13908755	2924	358
447	13924094	416	244
448	13926872	460	183
449	13929723	47	18
450	13930016	1481	499
451	13938554	1442	253
452	13946124	1429	451
453	13954504	65	50
454	13954984	341	139
455	13957068	592	366
456	13960956	3620	679
457	13981217	537	121
458	13984395	623	111
459	13987923	229	121
460	13989424	34	18
461	13989651	2712	618
462	14005059	996	331
463	14011017	8969	1063
464	14058917	2051	750
465	14071354	304	136
466	14073333	1963	677
467	14084930	837	426
468	14090292	4366	1113
469	14113024	11775	1863
470	14177226	557	328
471	14180879	10346	1122
472	14234976	4334	824
473	14257626	2487	694
474	14271635	9487	1183
475	14318554	4	4
476	14318585	468	101
477	14321232	897	514
478	14327006	1088	566
479	14333568	31	14
480	14333774	840	539
481	14338806	2	2
482	14338824	156	55
483	14339741	448	195
484	14342607	2755	597
485	14357177	564	249
486	14360548	507	305
487	14363850	897	429
488	14369503	1063	583
489	14376145	8	2
490	14376193	653	327
491	14380299	4759	721
492	14406195	1985	626
493	14418142	13669	1392
494	14488789	715	373
495	14493407	921	301
496	14498987	2157	684
497	14511727	2982	946
498	14529812	454	253
499	14532711	8967	1487
500	14582385	6245	1573
501	14618349	213	166
502	14619875	2260	520
503	14632808	3328	1123
504	14652701	1312	238
505	14659613	983	491
506	14665720	106	75
507	14666472	58	33
508	14666871	51	43
509	14667255	1931	761
510	14679140	4347	1050
511	14704422	3337	665
512	14722509	799	443
513	14727557	2708	1032
